Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;ITG 16 - Integração do Plano Mestre de Produção - 0201_08 BEL_0001 ITAQUIRAI MS ABATEDOURO DE AVES;BELLO.PPE.0450.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0205_08 BEL_0005 AP DO TABOADO MS ABATEDOURO DE A;BELLO.PPE.0460.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0213_08 BEL_0013 ITAPUI SP ABATEDOURO DE AVES;BELLO.PPE.0506.V1;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0301_08 MAIS_FRA 0001 MIRAGUAI RS ABATEDOURO DE A;MAIS_FRANGO.PPE.0198.V1;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0401_08 PLUSV_AGRO 0001 UMUARAMA PR ABATEDOURO DE;PLUSVAL.PPE.0478.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0404_08 PLUSV_AGRO 0004 IPORA PR ABATEDOURO DE AV;PLUSVAL.PPE.0506.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0406_08 PLUSV_AGRO 0006 CAPANEMA PR ABATEDOURO DE;PLUSVAL.PPE.0546.V1;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 0701_08 DF_AVES 0001 BRASILIA DF ABATEDOURO DE AV;DF_AVES.PPE.0026.V1;Planejamento de Produção ao Estoque;DF AVES LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 16 - Integração do Plano Mestre de Produção - 1004_08 AST_COM 0004 ITAPUI SP ABATEDOURO DE AVES;ASTRA.PPE.0184.V1;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Produção;Luan de Andrade;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 4 - Inclusão Ordem de Carregamento - 0201_08 BEL_0001 ITAQUIRAI MS ABATEDOURO DE AVES;BELLO.ETR.0023.V2;Execução de transportes;BELLO ALIMENTOS LTDA;Produção;Felipe Otavio;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 4 - Inclusão Ordem de Carregamento - 0205_08 BEL_0005 AP DO TABOADO MS ABATEDOURO DE AVES;BELLO.ETR.0021.V2;Execução de transportes;BELLO ALIMENTOS LTDA;Produção;Felipe Otavio;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;ITG 4 - Inclusão Ordem de Carregamento - 0213_08 BEL_0013 ITAPUI SP ABATEDOURO DE AVES;BELLO.ETR.0022.V2;Execução de transportes;BELLO ALIMENTOS LTDA;Produção;Felipe Otavio;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
