Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0017_02 PL;PLUMA_AGRO.PPE.1035.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0028_02 PL;PLUMA_AGRO.PPE.1044.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0029_02 PL;PLUMA_AGRO.PPE.1047.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0035_02 PL;PLUMA_AGRO.PPE.0998.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0042_02 PL;PLUMA_AGRO.PPE.0962.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0059_02 PL;PLUMA_AGRO.PPE.1074.V6;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0201_12 BE;BELLO.PPE.0389.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0202_02 BE;BELLO.PPE.0381.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0205_02 BE;BELLO.PPE.0395.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;De modo geral, as unidades trabalham com o arquivamento de documentos de forma física. - 0205_12 BE;BELLO.PPE.0383.V6;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Gestão da Qualidade;Jackeline Dallagnol;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
