Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P1;Calculo das Taxas de Recursos;PLUSVAL.PPE.0058.V4;Planejamento de Produção ao Estoque;PLUSVAL AGROAVICOLA LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Calculo das Taxas de Recursos;MAIS_FRANGO.PPE.0013.V4;Planejamento de Produção ao Estoque;MAIS FRANGO MIRAGUAI LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Calculo das Taxas de Recursos;DF_AVES.PPE.0007.V4;Planejamento de Produção ao Estoque;DF AVES LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P1;Calculo das Taxas de Recursos;COPRIMAR.PPE.0007.V4;Planejamento de Produção ao Estoque;COPRIMAR COMERCIO DE PESCADOS E FRUTOS DO MAR LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;MAR_E_TERRA.PPE.0023.V4;Planejamento de Produção ao Estoque;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;CASSILANDIA.PPE.0015.V4;Planejamento de Produção ao Estoque;CASSILANDIA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;PLUMA_GEN.PPE.0018.V4;Planejamento de Produção ao Estoque;PLUMA GENETICS LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;PLUMA_AGRO.PPE.0057.V4;Planejamento de Produção ao Estoque;PLUMA AGROAVICOLA LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;GPL_TRADING.PPE.0008.V4;Planejamento de Produção ao Estoque;GPL TRADING IMPORTACAO E EXPORTACAO LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;ASTRA.PPE.0008.V4;Planejamento de Produção ao Estoque;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;BELLO.PPE.0054.V4;Planejamento de Produção ao Estoque;BELLO ALIMENTOS LTDA;Controladoria;Marco Uliano;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Calculo das Taxas de Recursos;DOURAMIX.PPE.0011.V4;Planejamento de Produção ao Estoque;RACOES DOURAMIX LTDA;Controladoria;Paulo Pacheco;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;CALTALISE.01 - INTEGRACAO COM CATALISE TECH;PLUMA_AGRO.FCP.0167.V1;Financeiro - Contas a Pagar;PLUMA AGROAVICOLA LTDA;Financeiro;Ricardo Sousa;Sem Atividade, cancelado;Cancelado;0;Cancelado
P1;CALTALISE.01 - INTEGRACAO COM CATALISE TECH;PLUMA_AGRO.FCP.0167.V2;Financeiro - Contas a Pagar;PLUMA AGROAVICOLA LTDA;Financeiro;Ricardo Sousa;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P4;Compra de Milho a Fixar - 0017_02 PLU_AGRO 0017 TAMBAU SP FABRICA DE RACAO;PLUMA_AGRO.PTM.2133.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Gabriel Miranda;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Compra de Milho a Fixar - 0028_02 PLU_AGRO 0028 CASCAVEL PR FABRICA DE RACAO;PLUMA_AGRO.PTM.2104.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Gabriel Miranda;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Compra de Milho a Fixar - 0029_02 PLU_AGRO 0029 FORMOSA GO FABRICA DE RACAO;PLUMA_AGRO.PTM.2135.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Gabriel Miranda;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Compra de Milho a Fixar - 0035_02 PLU_AGRO 0035 BRASILIA DF FABRICA DE RACAO;PLUMA_AGRO.PTM.2120.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Gabriel Miranda;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Compra de Milho a Fixar - 0042_02 PLU_AGRO 0042 BARIRI SP FABRICA DE RACAO;PLUMA_AGRO.PTM.2144.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Gabriel Miranda;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;Compra de Milho a Fixar - 0059_02 PLU_AGRO 0059 DOIS VIZINHOS PR FABRICA DE RACAO;PLUMA_AGRO.PTM.2101.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Gabriel Miranda;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
