Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P10;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA-ASTRA-CEP.02.1 – VERSIONAR ORÇAMENTO - APROVAR;ASTRA.PRJ.003.V4;Gestão de Projetos;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA-ASTRA-CEP.02.1 – VERSIONAR ORÇAMENTO - REJEITAR;ASTRA.PRJ.002.V4;Gestão de Projetos;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA-ASTRA-CEP.08 – FECHAMENTO MENSAL DO PPM;ASTRA.PRJ.001.V4;Gestão de Projetos;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF-01.030 -> INTERFACE DE ENTRADA DE ATIVOS - ORIGEM MANUAL;ASTRA.CTL.014.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF-01.030 -> INTERFACE DE ENTRADA DE ATIVOS - ORIGEM PLANILHA ADFI;ASTRA.CTL.025.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF-01.030 -> INTERFACE DE ENTRADA DE ATIVOS - ORIGEM PPM;ASTRA.CTL.022.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF.02 - REALIZAR AJUSTE DE ATIVOS - AJUSTE FINANCEIRO ORIGEM PPM.;ASTRA.CTL.003.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF.02 - REALIZAR AJUSTE DE ATIVOS - AJUSTE METODO DEPREC/AMORT/EXAUS (APROVAR);ASTRA.CTL.010.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF.02 - REALIZAR AJUSTE DE ATIVOS - AJUSTE METODO DEPREC/AMORT/EXAUS (REJEITAR);ASTRA.CTL.030.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF.02 - REALIZAR AJUSTE DE ATIVOS - AJUSTES DESCRITIVOS;ASTRA.CTL.020.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF.02 - REALIZAR AJUSTE DE ATIVOS - AJUSTES FINANCEIROS ORIGEM FA (APROVAR);ASTRA.CTL.018.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;ASTRA-GAF.02 - REALIZAR AJUSTE DE ATIVOS - AJUSTES FINANCEIROS ORIGEM FA (REJEITAR);ASTRA.CTL.032.V4;Controladoria;ASTRA COMERCIAL DE PRODUTOS ALIMENTICIOS LTDA;Controladoria;Camila Lorena Maciel;Sem Atividade, cancelado;Cancelado;0;Cancelado
