Grupo de Prioridade;Cenário;Identificador;Grupo de Processo;Unidade de Negócio;Área de Negócio;Lider do Cenário;Meu Envolvimento;Situação x Planejamento;Qtde. Execuções Concluídas;Status
P10;GRF.01.001.NFSe FRETE-MUNICIPAL -  TRANSFERENCIA DE PRODUTO ACABADO;DF_AVES.PTM.0162.V2;Compras ao Recebimento;DF AVES LTDA;Fiscal;Renato Mezzalira;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;GRF.01.0059 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUMA_AGRO.PTM.2008.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0059 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUSVAL.PTM.1181.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0059 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;MAR_E_TERRA.PTM.036.V2;Compras ao Recebimento;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Fiscal;Cleber Escritori;Sem Atividade;Dentro do Planejamento;0;Em Andamento
P10;GRF.01.0060 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;MAR_E_TERRA.PTM.035.V2;Compras ao Recebimento;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Fiscal;Cleber Escritori;Sem Atividade;Dentro do Planejamento;0;Em Andamento
P10;GRF.01.0060 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUSVAL.PTM.1189.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0060 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUMA_AGRO.PTM.2007.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0061 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUMA_AGRO.PTM.1993.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;GRF.01.0061 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUSVAL.PTM.1192.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade;Dentro do Planejamento;0;Não Iniciado
P10;GRF.01.0061 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;MAR_E_TERRA.PTM.032.V2;Compras ao Recebimento;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0062 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;MAR_E_TERRA.PTM.037.V2;Compras ao Recebimento;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Fiscal;Cleber Escritori;Sem Atividade;Dentro do Planejamento;0;Em Andamento
P10;GRF.01.0062 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUSVAL.PTM.1162.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0062 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO;PLUMA_AGRO.PTM.2020.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P3;GRF.01.0063 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO/CT-E;PLUSVAL.PTM.1180.V1;Compras ao Recebimento;PLUSVAL AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P4;GRF.01.0063 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO/CT-E;PLUMA_AGRO.PTM.1984.V1;Compras ao Recebimento;PLUMA AGROAVICOLA LTDA;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Cancelado
P10;GRF.01.0063 - COMPRA DE BEM PARA O ATIVO IMOBILIZADO/CT-E;MAR_E_TERRA.PTM.038.V2;Compras ao Recebimento;MAR & TERRA INDUSTRIA E COMERCIO DE PESCADOS S.A;Fiscal;Cleber Escritori;Sem Atividade, cancelado;Cancelado;0;Bloqueado
